K00259	ald; alanine dehydrogenase [EC:1.4.1.1]
K13371	aauA; aralkylamine dehydrogenase light chain [EC:1.4.9.2]
K13372	aauB; aralkylamine dehydrogenase heavy chain [EC:1.4.9.2]
K14678	LOXL1; lysyl oxidase-like protein 1 [EC:1.4.3.-]
K15228	mauA; methylamine dehydrogenase light chain [EC:1.4.9.1]
K15229	mauB; methylamine dehydrogenase heavy chain [EC:1.4.9.1]
K15371	GDH2; glutamate dehydrogenase [EC:1.4.1.2]
K16182	pylD; 3-methylornithyl-N6-L-lysine dehydrogenase [EC:1.4.1.-]
K17831	lodA; L-lysine 6-oxidase [EC:1.4.3.20]
K18012	Kdd; L-erythro-3,5-diaminohexanoate dehydrogenase [EC:1.4.1.11]
K19064	lysDH; lysine 6-dehydrogenase [EC:1.4.1.18]
K19244	ala; alanine dehydrogenase [EC:1.4.1.1]
K19744	dauB; L-arginine dehydrogenase [EC:1.4.1.25]
K19746	dauA; D-arginine dehydrogenase [EC:1.4.99.6]
K19884	rebO; 7-chloro-L-tryptophan oxidase [EC:1.4.3.23]
K20075	staO; tryptophan oxidase StaO [EC:1.4.3.-]
K20086	vioA; tryptophan oxidase VioA [EC:1.4.3.-]
K20158	pao; pseudooxynicotine oxidase [EC:1.4.3.24]
K21639	E1.4.3.25; L-arginine oxidase [EC:1.4.3.25]
K21672	ord; 2,4-diaminopentanoate dehydrogenase [EC:1.4.1.12 1.4.1.26]
K23998	PPOX; pyridoxal 5'-phosphate synthase / NAD(P)H-hydrate epimerase [EC:1.4.3.5 5.1.99.6]
K24693	mftD; pre-mycofactocin synthase [EC:1.4.3.26]
K25271	tynA; tyramine oxidase subunit A [EC:1.4.3.-]
K25272	tynB; tyramine oxidase subunit B [EC:1.4.3.-]
K01424	E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]
K01425	glsA, GLS; glutaminase [EC:3.5.1.2]
K01426	E3.5.1.4, amiE; amidase [EC:3.5.1.4]
K01427	URE; urease [EC:3.5.1.5]
K01428	ureC; urease subunit alpha [EC:3.5.1.5]
K01429	ureB; urease subunit beta [EC:3.5.1.5]
K01430	ureA; urease subunit gamma [EC:3.5.1.5]
K01431	UPB1, pydC; beta-ureidopropionase [EC:3.5.1.6]
K01432	AFMID; arylformamidase [EC:3.5.1.9]
K01433	purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]
K01434	pac; penicillin G amidase [EC:3.5.1.11]
K01435	BTD; biotinidase [EC:3.5.1.12]
K01436	yhaA; amidohydrolase [EC:3.5.1.-]
K01437	ASPA, aspA; aspartoacylase [EC:3.5.1.15]
K01438	argE; acetylornithine deacetylase [EC:3.5.1.16]
K01439	dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
K01440	PNC1; nicotinamidase [EC:3.5.1.19]
K01441	ACER1_2, ASAH3; alkaline ceramidase [EC:3.5.1.23]
K01442	cbh; choloylglycine hydrolase [EC:3.5.1.24]
K01443	nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
K01444	AGA, aspG; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]
K01447	xlyAB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01448	amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01449	cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K01451	hipO; hippurate hydrolase [EC:3.5.1.32]
K01452	E3.5.1.41; chitin deacetylase [EC:3.5.1.41]
K01453	nylB; 6-aminohexanoate-oligomer exohydrolase [EC:3.5.1.46]
K01455	E3.5.1.49; formamidase [EC:3.5.1.49]
K01456	E3.5.1.52, NGLY1, PNG1; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase [EC:3.5.1.52]
K01457	atzF; allophanate hydrolase [EC:3.5.1.54]
K01458	hutG; N-formylglutamate deformylase [EC:3.5.1.68]
K01459	E3.5.1.77; N-carbamoyl-D-amino-acid hydrolase [EC:3.5.1.77]
K01460	gsp; glutathionylspermidine amidase/synthetase [EC:3.5.1.78 6.3.1.8]
K01461	E3.5.1.82; N-acyl-D-glutamate deacylase [EC:3.5.1.82]
K01462	PDF, def; peptide deformylase [EC:3.5.1.88]
K01463	bshB1; N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]
K01464	DPYS, dht, hydA; dihydropyrimidinase [EC:3.5.2.2]
K01465	URA4, pyrC; dihydroorotase [EC:3.5.2.3]
K01466	allB; allantoinase [EC:3.5.2.5]
K01467	ampC; beta-lactamase class C [EC:3.5.2.6]
K01468	hutI, AMDHD1; imidazolonepropionase [EC:3.5.2.7]
K01469	OPLAH, OXP1, oplAH; 5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]
K01470	E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]
K01471	nylA; 6-aminohexanoate-cyclic-dimer hydrolase [EC:3.5.2.12]
K01473	hyuA; N-methylhydantoinase A [EC:3.5.2.14]
K01474	hyuB; N-methylhydantoinase B [EC:3.5.2.14]
K01475	E3.5.2.20; isatin hydrolase [EC:3.5.2.20]
K01476	E3.5.3.1, rocF, arg; arginase [EC:3.5.3.1]
K01477	alc, ALLC; allantoicase [EC:3.5.3.4]
K01478	arcA; arginine deiminase [EC:3.5.3.6]
K01479	hutG; formiminoglutamase [EC:3.5.3.8]
K01480	speB; agmatinase [EC:3.5.3.11]
K01481	E3.5.3.15; protein-arginine deiminase [EC:3.5.3.15]
K01482	DDAH, ddaH; dimethylargininase [EC:3.5.3.18]
K01484	astB; succinylarginine dihydrolase [EC:3.5.3.23]
K01485	codA; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
K01486	ade; adenine deaminase [EC:3.5.4.2]
K01487	guaD, GDA; guanine deaminase [EC:3.5.4.3]
K01488	add, ADA; adenosine deaminase [EC:3.5.4.4]
K01489	cdd, CDA; cytidine deaminase [EC:3.5.4.5]
K01490	AMPD; AMP deaminase [EC:3.5.4.6]
K01493	comEB; dCMP deaminase [EC:3.5.4.12]
K01494	dcd; dCTP deaminase [EC:3.5.4.13]
K01495	GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]
K01496	hisI; phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]
K01497	ribA, RIB1; GTP cyclohydrolase II [EC:3.5.4.25]
K01498	ribD1; diaminohydroxyphosphoribosylaminopyrimidine deaminase [EC:3.5.4.26]
K01499	mch; methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]
K01500	fchA; methenyltetrahydrofolate cyclohydrolase [EC:3.5.4.9]
K01501	E3.5.5.1; nitrilase [EC:3.5.5.1]
K01502	E3.5.5.7; aliphatic nitrilase [EC:3.5.5.7]
K01505	E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]
K01506	davA; 5-aminopentanamidase [EC:3.5.1.30]
K01567	pdaA; peptidoglycan-N-acetylmuramic acid deacetylase [EC:3.5.1.-]
K02079	agaA; N-acetylgalactosamine-6-phosphate deacetylase [EC:3.5.1.25]
K02080	agaI; putative deaminase/isomerase [EC:3.5.99.-]
K02082	agaS; D-galactosamine 6-phosphate deaminase/isomerase [EC:3.5.99.-]
K02083	allC; allantoate deiminase [EC:3.5.3.9]
K02535	lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K02564	nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]
K03152	thiJ; protein deglycase [EC:3.5.1.124]
K03365	FCY1; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]
K03382	atzB; hydroxydechloroatrazine ethylaminohydrolase [EC:3.5.4.43]
K03383	atzD; cyanuric acid amidohydrolase [EC:3.5.2.15]
K03411	cheD; chemotaxis protein CheD [EC:3.5.1.44]
K03418	dmfA2; N,N-dimethylformamidase large subunit [EC:3.5.1.56]
K03434	PIGL; N-acetylglucosaminylphosphatidylinositol deacetylase [EC:3.5.1.89]
K03478	chbG; chitin disaccharide deacetylase [EC:3.5.1.105]
K03707	tenA; thiaminase (transcriptional activator TenA) [EC:3.5.99.2]
K03742	pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]
K03743	pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]
K03806	ampD; N-acetyl-anhydromuramoyl-L-alanine amidase [EC:3.5.1.28]
K04711	ACER3, YDC1; dihydroceramidase [EC:3.5.1.-]
K05520	pfpI; protease I [EC:3.5.1.124]
K05526	astE; succinylglutamate desuccinylase [EC:3.5.1.96]
K05597	aspQ, ansB, ansA; glutamin-(asparagin-)ase [EC:3.5.1.38]
K05603	hutF; formimidoylglutamate deiminase [EC:3.5.3.13]
K05687	PARK7; protein DJ-1 [EC:3.5.1.124]
K05823	dapL; N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]
K05831	lysK, argE; [amino group carrier protein]-lysine/ornithine hydrolase [EC:3.5.1.130 3.5.1.132]
K05848	YPC1; phytoceramidase [EC:3.5.1.-]
K06015	E3.5.1.81; N-acyl-D-amino-acid deacylase [EC:3.5.1.81]
K06016	pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]
K06067	HDAC1_2; histone deacetylase 1/2 [EC:3.5.1.98]
K07008	egtC; gamma-glutamyl hercynylcysteine S-oxide hydrolase [EC:3.5.1.118]
K07047	nfdA; N-substituted formamide deformylase [EC:3.5.1.91]
K07116	pvdQ, quiP; acyl-homoserine-lactone acylase [EC:3.5.1.97]
K07127	uraH, pucM, hiuH; 5-hydroxyisourate hydrolase [EC:3.5.2.17]
K07130	KynB; arylformamidase [EC:3.5.1.9]
K07160	pxpA; 5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
K08069	VNN; pantetheine hydrolase [EC:3.5.1.92]
K08096	gch3; GTP cyclohydrolase IIa [EC:3.5.4.29]
K08260	cbiZ; adenosylcobinamide hydrolase [EC:3.5.1.90]
K08281	pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
K08590	nit; 2-oxoglutaramate amidase [EC:3.5.1.111]
K08687	E3.5.1.59; N-carbamoylsarcosine amidase [EC:3.5.1.59]
K08688	E3.5.3.3; creatinase [EC:3.5.3.3]
K08710	atzC; N-isopropylammelide isopropylaminohydrolase [EC:3.5.4.42]
K09007	folE2; GTP cyclohydrolase IB [EC:3.5.4.16]
K09020	rutB; ureidoacrylate peracid hydrolase [EC:3.5.1.110]
K09022	ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
K09023	rutD; aminoacrylate hydrolase [EC:3.5.1.-]
K09473	puuD; gamma-glutamyl-gamma-aminobutyrate hydrolase [EC:3.5.1.94]
K09887	dcd; dCTP deaminase (dUMP-forming) [EC:3.5.4.30]
K09900	E3.5.1.135; N4-acetylcytidine amidohydrolase [EC:3.5.1.135]
K10536	aguA; agmatine deiminase [EC:3.5.3.12]
K10708	frlB; fructoselysine 6-phosphate deglycase [EC:3.5.-.-]
K10989	AICDA, AID; activation-induced cytidine deaminase [EC:3.5.4.38]
K11066	E3.5.1.28D, amiD; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K11176	purO; IMP cyclohydrolase [EC:3.5.4.10]
K11206	NIT1, ybeM; deaminated glutathione amidase [EC:3.5.1.128]
K11404	HDAC3; histone deacetylase 3 [EC:3.5.1.98]
K11405	HDAC8; histone deacetylase 8 [EC:3.5.1.98]
K11406	HDAC4_5; histone deacetylase 4/5 [EC:3.5.1.98]
K11407	HDAC6; histone deacetylase 6 [EC:3.5.1.98]
K11408	HDAC7; histone deacetylase 7 [EC:3.5.1.98]
K11409	HDAC9; histone deacetylase 9 [EC:3.5.1.98]
K11418	HDAC11; histone deacetylase 11 [EC:3.5.1.98]
K11482	HOS1; histone deacetylase HOS1 [EC:3.5.1.98]
K11483	HOS2; histone deacetylase HOS2 [EC:3.5.1.98]
K11484	HOS3; histone deacetylase HOS3 [EC:3.5.1.98]
K11752	ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]
K11755	hisIE; phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31]
K11931	pgaB; poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]
K11991	tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]
K12251	aguB; N-carbamoylputrescine amidase [EC:3.5.1.53]
K12255	gbuA; guanidinobutyrase [EC:3.5.3.7]
K12348	ASAH1; acid ceramidase [EC:3.5.1.23]
K12349	ASAH2; neutral ceramidase [EC:3.5.1.23]
K12676	pah; proclavaminate amidinohydrolase [EC:3.5.3.22]
K12748	gca; glutaryl-7-aminocephalosporanic-acid acylase [EC:3.5.1.93]
K12960	mtaD; 5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]
K12968	ADAR, ADAR1; double-stranded RNA-specific adenosine deaminase [EC:3.5.4.37]
K13014	arnD; undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.1.-]
K13035	NIT4; beta-cyano-L-alanine hydratase/nitrilase [EC:3.5.5.4 4.2.1.65]
K13051	ASRGL1, iaaA; L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]
K13194	ADARB; double stranded RNA-specific editase B [EC:3.5.-.-]
K13484	TTHL; 5-hydroxyisourate hydrolase / 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:3.5.2.17 4.1.1.97]
K13551	btrD; 2'-N-acetylparomamine deacetylase [EC:3.5.1.112]
K13566	NIT2, yafV; omega-amidase [EC:3.5.1.3]
K13714	atl; bifunctional autolysin [EC:3.5.1.28 3.2.1.96]
K13720	NAAA; N-(long-chain-acyl)ethanolamine deacylase [EC:3.5.1.60]
K13995	nicF; maleamate amidohydrolase [EC:3.5.1.107]
K14048	ureAB; urease subunit gamma/beta [EC:3.5.1.5]
K14263	BNA7; kynurenine formamidase [EC:3.5.1.9]
K14653	arfB; 2-amino-5-formylamino-6-ribosylaminopyrimidin-4(3H)-one 5'-monophosphate deformylase [EC:3.5.1.102]
K14659	nodB; chitooligosaccharide deacetylase [EC:3.5.1.-]
K14662	NTAN1; protein N-terminal asparagine amidohydrolase [EC:3.5.1.121]
K14663	NTA1; protein N-terminal amidase [EC:3.5.1.-]
K14664	ILR1; IAA-amino acid hydrolase [EC:3.5.1.-]
K14665	amhX; amidohydrolase [EC:3.5.1.-]
K14677	ACY1; aminoacylase [EC:3.5.1.14]
K14977	ylbA, UGHY; (S)-ureidoglycine aminohydrolase [EC:3.5.3.26]
K15067	amnD; 2-aminomuconate deaminase [EC:3.5.99.5]
K15357	nicD; N-formylmaleamate deformylase [EC:3.5.1.106]
K15358	ena; enamidase [EC:3.5.2.18]
K15440	TAD1, ADAT1; tRNA-specific adenosine deaminase 1 [EC:3.5.4.34]
K15441	TAD2, ADAT2; tRNA-specific adenosine deaminase 2 [EC:3.5.4.-]
K15525	mshB; N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase [EC:3.5.1.103]
K15528	FAAH; fatty acid amide hydrolase [EC:3.5.1.99]
K15783	doeA; ectoine hydrolase [EC:3.5.4.44]
K15784	doeB; N2-acetyl-L-2,4-diaminobutanoate deacetylase [EC:3.5.1.125]
K16363	lpxC-fabZ; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase / 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:3.5.1.108 4.2.1.59]
K16842	hpxB; allantoinase [EC:3.5.2.5]
K16930	cdat8; tRNA(cytosine8) deaminase [EC:3.5.4.35]
K16932	APOBEC1; C->U-editing enzyme APOBEC1 [EC:3.5.4.36]
K17078	neoL; 2'-N-acetylparomamine deacetylase / 2'''-acetyl-6'''-hydroxyneomycin deacetylase [EC:3.5.1.112 3.5.1.113]
K17488	mptA; GTP cyclohydrolase IV [EC:3.5.4.39]
K17836	penP; beta-lactamase class A [EC:3.5.2.6]
K17837	bla2, blm, ccrA, blaB; metallo-beta-lactamase class B [EC:3.5.2.6]
K17838	oxa; beta-lactamase class D [EC:3.5.2.6]
K18151	UAH; ureidoglycolate amidohydrolase [EC:3.5.1.116]
K18282	cynD; cyanide dihydratase [EC:3.5.5.-]
K18286	add; aminodeoxyfutalosine deaminase [EC:3.5.4.40]
K18454	deaA; chitin disaccharide deacetylase [EC:3.5.1.105]
K18455	mca; mycothiol S-conjugate amidase [EC:3.5.1.115]
K18456	E3.5.4.32; 8-oxoguanine deaminase [EC:3.5.4.32]
K18457	laaA; L-proline amide hydrolase [EC:3.5.1.101]
K18458	ACY3; N-acyl-aromatic-L-amino acid amidohydrolase [EC:3.5.1.114]
K18459	gpuA; guanidinopropionase [EC:3.5.3.17]
K18540	ramA; (R)-amidase [EC:3.5.1.100]
K18541	mdlY; mandelamide amidase [EC:3.5.1.86]
K18572	cmmT, thnT; putative pantetheine hydrolase [EC:3.5.1.-]
K18614	2-(acetamidomethylene)succinate hydrolase [EC:3.5.1.29]
K18671	HDAC10; histone deacetylase 10 [EC:3.5.1.98]
K18698	blaTEM; beta-lactamase class A TEM [EC:3.5.2.6]
K18699	blaSHV; beta-lactamase class A SHV [EC:3.5.2.6]
K18750	APOBEC3; C->U-editing enzyme APOBEC3 [EC:3.5.4.-]
K18766	blaZ; beta-lactamase class A BlaZ [EC:3.5.2.6]
K18767	blaCTX-M; beta-lactamase class A CTX-M [EC:3.5.2.6]
K18768	blaKPC; beta-lactamase class A KPC [EC:3.5.2.6]
K18772	APOBEC2; C->U-editing enzyme APOBEC2 [EC:3.5.4.-]
K18773	APOBEC4; C->U-editing enzyme APOBEC4 [EC:3.5.4.-]
K18780	blaNDM; metallo-beta-lactamase class B NDM [EC:3.5.2.6]
K18781	blaVIM; metallo-beta-lactamase class B VIM [EC:3.5.2.6]
K18782	blaIMP; metallo-beta-lactamase class B IMP [EC:3.5.2.6]
K18790	blaOXA-1; beta-lactamase class D OXA-1 [EC:3.5.2.6]
K18791	blaOXA-2; beta-lactamase class D OXA-2 [EC:3.5.2.6]
K18792	blaOXA-10; beta-lactamase class D OXA-10 [EC:3.5.2.6]
K18793	blaOXA-23; beta-lactamase class D OXA-23 [EC:3.5.2.6]
K18794	blaOXA-51; beta-lactamase class D OXA-51 [EC:3.5.2.6]
K18795	blaCARB-1; beta-lactamase class A CARB-1, PSE family [EC:3.5.2.6]
K18796	blaLEN; beta-lactamase class A LEN [EC:3.5.2.6]
K18797	blaPER; beta-lactamase class A PER [EC:3.5.2.6]
K18970	blaGES; beta-lactamase class A GES [EC:3.5.2.6]
K18971	blaOXA-24; beta-lactamase class D OXA-24 [EC:3.5.2.6]
K18972	blaOXA-58; beta-lactamase class D OXA-58 [EC:3.5.2.6]
K18973	blaOXA-50; beta-lactamase class D OXA-50 [EC:3.5.2.6]
K18976	blaOXA-48; beta-lactamase class D OXA-48 [EC:3.5.2.6]
K19095	blaCMY-1; beta-lactamase class C CMY-1 [EC:3.5.2.6]
K19096	blaCMY-2; beta-lactamase class C CMY-2 [EC:3.5.2.6]
K19097	blaVEB; beta-lactamase class A VEB [EC:3.5.2.6]
K19098	blaOXA-9; beta-lactamase class D OXA-9 [EC:3.5.2.6]
K19099	blaGIM; metallo-beta-lactamase class B GIM [EC:3.5.2.6]
K19100	blaDHA; beta-lactamase class C DHA [EC:3.5.2.6]
K19101	blaFOX; beta-lactamase class C FOX [EC:3.5.2.6]
K19176	FAAH2; fatty acid amide hydrolase 2 [EC:3.5.1.99]
K19209	blaOXA-42; beta-lactamase class D OXA-42 [EC:3.5.2.6]
K19210	blaOXA-61; beta-lactamase class D OXA-61 [EC:3.5.2.6]
K19211	blaOXA-62; beta-lactamase class D OXA-62 [EC:3.5.2.6]
K19212	blaOXA-63; beta-lactamase class D OXA-63 [EC:3.5.2.6]
K19213	blaOXA-12; beta-lactamase class D OXA-12 [EC:3.5.2.6]
K19214	blaACC; beta-lactamase class C ACC [EC:3.5.2.6]
K19215	blaACT_MIR; beta-lactamase class C ACT/MIR [EC:3.5.2.6]
K19216	blaIND; metallo-beta-lactamase class B IND [EC:3.5.2.6]
K19217	blaCARB-17; beta-lactamase class A CARB-17 [EC:3.5.2.6]
K19218	blaCARB-5; beta-lactamase class A CARB-5, RTG family [EC:3.5.2.6]
K19316	blaIMI; beta-lactamase class A IMI [EC:3.5.2.6]
K19317	blaBEL; beta-lactamase class A BEL [EC:3.5.2.6]
K19318	blaOXA-213; beta-lactamase class D OXA-213 [EC:3.5.2.6]
K19319	blaOXA-134; beta-lactamase class D OXA-134 [EC:3.5.2.6]
K19320	blaOXA-211; beta-lactamase class D OXA-211 [EC:3.5.2.6]
K19321	blaOXA-214; beta-lactamase class D OXA-214 [EC:3.5.2.6]
K19322	blaOXA-229; beta-lactamase class D OXA-229 [EC:3.5.2.6]
K19572	CECR1, ADA2; adenosine deaminase CECR1 [EC:3.5.4.4]
K19723	dcsB; Nomega-hydroxy-L-arginine amidinohydrolase [EC:3.5.3.25]
K19794	bar; barbiturase [EC:3.5.2.1]
K19795	E3.5.1.95; ureidomalonase [EC:3.5.1.95]
K19837	atzE; 1-carboxybiuret hydrolase [EC:3.5.1.131]
K19963	nylC; 6-aminohexanoate-oligomer endohydrolase [EC:3.5.1.117]
K19964	HIUH; hydroxyisourate hydrolase [EC:3.5.2.17]
K20319	blaADC; beta-lactamase class C ADC [EC:3.5.2.6]
K20320	blaPDC; beta-lactamase class C PDC [EC:3.5.2.6]
K20583	livD, parD; deacetylase [EC:3.5.1.-]
K20760	scnA; thiocyanate hydrolase subunit alpha [EC:3.5.5.8]
K20761	scnB; thiocyanate hydrolase subunit beta [EC:3.5.5.8]
K20762	scnC; thiocyanate hydrolase subunit gamma [EC:3.5.5.8]
K20763	naaA; 5-nitroanthranilic acid aminohydrolase [EC:3.5.99.8]
K20764	nnhA; 2-nitroimidazole nitrohydrolase [EC:3.5.99.9]
K20766	E3.5.5.5; arylacetonitrilase [EC:3.5.5.5]
K20806	bxn; bromoxynil nitrilase [EC:3.5.5.6]
K20810	mqnX; aminodeoxyfutalosine deaminase [EC:3.5.4.40]
K20814	dop; Pup amidohydrolase [EC:3.5.1.119]
K20816	sttH; streptothricin hydrolase [EC:3.5.2.19]
K20817	E3.5.1.83; N-acyl-D-aspartate deacylase [EC:3.5.1.83]
K20895	ylmB; formylaminopyrimidine deformylase [EC:3.5.1.-]
K20896	TENA_E; formylaminopyrimidine deformylase / aminopyrimidine aminohydrolase [EC:3.5.1.- 3.5.99.-]
K20931	cnbZ; 2-aminomuconate deaminase (2-hydroxymuconate-forming) [EC:3.5.99.11]
K21053	ade; adenine deaminase [EC:3.5.4.2]
K21062	lhpC; 1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22]
K21266	blaOXA-286; beta-lactamase class D OXA-286 [EC:3.5.2.6]
K21276	blaOXA-22; beta-lactamase class D OXA-22 [EC:3.5.2.6]
K21277	blaOXA-60; beta-lactamase class D OXA-60 [EC:3.5.2.6]
K21286	NTAQ1; protein N-terminal glutamine amidohydrolase [EC:3.5.1.122]
K21287	atdA2; gamma-glutamylanilide hydrolase [EC:3.5.1.123]
K21478	icaB; poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]
K21589	cadD; cAMP deaminase [EC:3.5.4.46]
K21593	triA; melamine deaminase [EC:3.5.4.45]
K21604	IAR3, ILL6; jasmonoyl-L-amino acid hydrolase [EC:3.5.1.127]
K21613	scmP; N-acetylcysteine deacetylase [EC:3.5.1.-]
K21801	iaaH; indoleacetamide hydrolase [EC:3.5.1.-]
K22135	bshB2; N-acetylglucosamine malate deacetylase 2 [EC:3.5.1.-]
K22278	pgdA; peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]
K22331	blaOXA-184; beta-lactamase class D OXA-184 [EC:3.5.2.6]
K22332	blaOXA-548; beta-lactamase class D OXA-548 [EC:3.5.2.6]
K22333	blaOXA-493; beta-lactamase class D OXA-493 [EC:3.5.2.6]
K22334	blaOXA-464; beta-lactamase class D OXA-464 [EC:3.5.2.6]
K22335	blaOXA-114; beta-lactamase class D OXA-114 [EC:3.5.2.6]
K22346	blaSME; beta-lactamase class A SME [EC:3.5.2.6]
K22351	blaOXA-209; beta-lactamase class D OXA-209 [EC:3.5.2.6]
K22352	blaOXA-29; beta-lactamase class D OXA-29 [EC:3.5.2.6]
K22391	E3.5.4.16; GTP cyclohydrolase I [EC:3.5.4.16]
K22408	dac; N,N'-diacetylchitobiose non-reducing end deacetylase [EC:3.5.1.136]
K22409	sle1; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
